[10/27/21 17:06:18] [INFO] received Windows console close event; shutting log-core down
[10/27/21 17:10:11] [INFO] received Windows console close event; shutting log-core down
[10/27/21 17:12:32] [INFO] received Windows console close event; shutting log-core down
[10/27/21 19:37:39] [INFO] received Windows console close event; shutting log-core down
[10/27/21 20:02:19] [INFO] received Windows console close event; shutting log-core down
[10/27/21 23:42:20] [INFO] received Windows console close event; shutting log-core down
[10/30/21 17:13:26] [INFO] received Windows console close event; shutting log-core down
[10/30/21 22:12:21] [INFO] received Windows console close event; shutting log-core down
[10/31/21 00:19:26] [INFO] received Windows console close event; shutting log-core down
[10/31/21 00:30:44] [INFO] received Windows console close event; shutting log-core down
[11/09/21 21:42:01] [INFO] received Windows console close event; shutting log-core down
[11/09/21 22:45:30] [INFO] received Windows console close event; shutting log-core down
[11/09/21 22:56:04] [INFO] received Windows console close event; shutting log-core down
[11/09/21 22:58:46] [INFO] received Windows console close event; shutting log-core down
[11/09/21 23:13:45] [INFO] received Windows console close event; shutting log-core down
[11/10/21 20:54:22] [INFO] received Windows console close event; shutting log-core down
[11/10/21 20:55:57] [INFO] received Windows console close event; shutting log-core down
[11/10/21 21:24:54] [INFO] received Windows console close event; shutting log-core down
[11/10/21 21:36:16] [INFO] received Windows console close event; shutting log-core down
[11/10/21 21:38:25] [INFO] received Windows console close event; shutting log-core down
[11/10/21 22:42:32] [INFO] received Windows console close event; shutting log-core down
[12/29/21 13:18:01] [INFO] received Windows console close event; shutting log-core down
[12/29/21 13:18:44] [INFO] received Windows console close event; shutting log-core down
[12/29/21 18:32:57] [INFO] received Windows console close event; shutting log-core down
[12/29/21 18:53:46] [INFO] received Windows console close event; shutting log-core down
[12/29/21 18:55:51] [INFO] received Windows console close event; shutting log-core down
[03/19/22 20:10:50] [INFO] received Windows console close event; shutting log-core down
[02/12/23 18:42:31] [INFO] received Windows console close event; shutting log-core down
[02/12/23 19:05:38] [INFO] received Windows console close event; shutting log-core down
[02/12/23 19:14:53] [INFO] received Windows console close event; shutting log-core down
[02/12/23 19:27:18] [INFO] received Windows console close event; shutting log-core down
[02/12/23 19:32:49] [INFO] received Windows console close event; shutting log-core down
[02/12/23 19:55:51] [INFO] received Windows console close event; shutting log-core down
[02/12/23 20:33:20] [INFO] received Windows console close event; shutting log-core down
[02/12/23 20:45:26] [INFO] received Windows console close event; shutting log-core down
[02/12/23 20:53:49] [INFO] received Windows console close event; shutting log-core down
[02/12/23 20:58:59] [INFO] received Windows console close event; shutting log-core down
[02/12/23 21:00:19] [INFO] received Windows console close event; shutting log-core down
[02/12/23 21:17:52] [INFO] received Windows console close event; shutting log-core down
[02/12/23 22:49:01] [INFO] received Windows console close event; shutting log-core down
[02/12/23 22:59:57] [INFO] received Windows console close event; shutting log-core down
[02/12/23 23:07:59] [INFO] received Windows console close event; shutting log-core down
[02/12/23 23:21:55] [INFO] received Windows console close event; shutting log-core down
[02/13/23 11:17:23] [INFO] received Windows console close event; shutting log-core down
[02/13/23 12:25:08] [INFO] received Windows console close event; shutting log-core down
[02/13/23 12:29:15] [INFO] received Windows console close event; shutting log-core down
[02/13/23 12:36:09] [INFO] received Windows console close event; shutting log-core down
[02/13/23 12:36:12] [INFO] received Windows console close event; shutting log-core down
[02/13/23 13:03:49] [INFO] received Windows console close event; shutting log-core down
[02/13/23 13:04:22] [INFO] received Windows console close event; shutting log-core down
[02/13/23 13:09:10] [INFO] received Windows console close event; shutting log-core down
